comparison_id,metric,population,unit_count,paired_delta,ci_lower,ci_upper,wins,ties,losses,decision,evidence_status
ARM03_RESEARCH_REFERENCE-vs-BALANCED,recall_at_100,OUT,90,0.055555555555555546,0.029986111111111095,0.08166666666666665,49,20,21,LEFT,VERIFIED_AGGREGATE_A4_SELECTION
ARM03_RESEARCH_REFERENCE-vs-DEEP,recall_at_100,OUT,90,0.055555555555555546,0.029986111111111095,0.08166666666666665,49,20,21,LEFT,VERIFIED_AGGREGATE_A4_SELECTION
ARM03_RESEARCH_REFERENCE-vs-FAST,recall_at_100,OUT,90,0.10777777777777774,0.0811111111111111,0.13499999999999995,69,9,12,LEFT,VERIFIED_AGGREGATE_A4_SELECTION
BALANCED-vs-DEEP,recall_at_100,OUT,90,0.0,0.0,0.0,0,90,0,RIGHT,VERIFIED_AGGREGATE_A4_SELECTION
BALANCED-vs-FAST,recall_at_100,OUT,90,0.05222222222222221,0.038888888888888896,0.06555555555555553,55,29,6,LEFT,VERIFIED_AGGREGATE_A4_SELECTION
DEEP-vs-FAST,recall_at_100,OUT,90,0.05222222222222221,0.038888888888888896,0.06555555555555553,55,29,6,LEFT,VERIFIED_AGGREGATE_A4_SELECTION
