operation_id,control,recall_at_100_out,ndcg_at_100_out,ndcg_at_10_out,wall_seconds,search_p95_seconds,expected_units,completed_units
fixed-all-primary-rrf60,all-primary-rrf60,0.415083798883,0.346250339835,0.284772266617,18405.794591131853,1.436077747,250,250
fixed-best-single,best-single,0.41843575419,0.347098229677,0.29058905323,8782.829260081984,1.692079456,250,250
fixed-commercial-only-fixed-union,commercial-only-fixed-union,0.369273743017,0.308967311892,0.258115907613,10647.749156168895,1.165236256,250,250
fixed-top-three-rrf60,top-three-rrf60,0.415083798883,0.346250339835,0.284772266617,17484.517581552034,1.44317653,250,250
fixed-top-two-rrf60,top-two-rrf60,0.418715083799,0.352747182825,0.293715529655,13607.221250537084,1.345208879,250,250
