operation_id,source_arm,target_arm,recall_at_100_out,ndcg_at_100_out,ndcg_at_10_out,wall_seconds,search_p95_seconds,expected_units,completed_units
transfer-arm-03-to-arm-03,ARM-03,ARM-03,0.41843575419,0.347098229677,0.29058905323,8723.850954929832,1.71245343,250,250
transfer-arm-03-to-arm-04,ARM-03,ARM-04,0.337430167598,0.288875716825,0.248091372423,4932.80949009303,1.715117689,250,250
transfer-arm-03-to-arm-05,ARM-03,ARM-05,0.362569832402,0.306167865185,0.259748607918,13838.365633820184,1.444551196,250,250
transfer-arm-04-to-arm-03,ARM-04,ARM-03,0.418715083799,0.352415507198,0.295552841035,8935.459140799008,1.49250892,250,250
transfer-arm-04-to-arm-04,ARM-04,ARM-04,0.341340782123,0.286975215175,0.239139769024,5186.948975979118,1.46243566,250,250
transfer-arm-04-to-arm-05,ARM-04,ARM-05,0.359497206704,0.305475723873,0.258884097481,11256.944680440007,1.411170473,250,250
transfer-arm-05-to-arm-03,ARM-05,ARM-03,0.419273743017,0.351428097259,0.296278695076,6917.733942444902,0.975651532,250,250
transfer-arm-05-to-arm-04,ARM-05,ARM-04,0.338268156425,0.280556959357,0.229009295806,3703.960025171982,0.891815283,250,250
transfer-arm-05-to-arm-05,ARM-05,ARM-05,0.36061452514,0.306578784874,0.261546177506,7421.205459194956,0.871873512,250,250
